drug_name,disease_name,protein_name
acetazolamide,angle-closure glaucoma,carbonic anhydrase 12
acetazolamide,altitude sickness,carbonic anhydrase 1
acetazolamide,altitude sickness,carbonic anhydrase 14
acetazolamide,altitude sickness,carbonic anhydrase 3
acetazolamide,altitude sickness,carbonic anhydrase 2
acetazolamide,altitude sickness,carbonic anhydrase 4
acetazolamide,altitude sickness,carbonic anhydrase 7
acetazolamide,altitude sickness,carbonic anhydrase 12
diphenidol,central nervous system origin vertigo,cholinergic receptor muscarinic 1
diphenidol,central nervous system origin vertigo,cholinergic receptor muscarinic 2
diphenidol,central nervous system origin vertigo,cholinergic receptor muscarinic 3
acebutolol,hypertensive disorder,adrenoceptor beta 1
dexamethasone,"dermatitis, atopic",nuclear receptor subfamily 3 group c member 1
dexamethasone,psoriasis,nuclear receptor subfamily 3 group c member 1
dexamethasone,ankylosing spondylitis,nuclear receptor subfamily 3 group c member 1
dexamethasone,discoid lupus erythematosus,nuclear receptor subfamily 3 group c member 1
dexamethasone,crohn disease,nuclear receptor subfamily 3 group c member 1
dexamethasone,iridocyclitis,nuclear receptor subfamily 3 group c member 1
dexamethasone,rheumatoid arthritis,nuclear receptor subfamily 3 group c member 1
dexamethasone,seborrheic dermatitis,nuclear receptor subfamily 3 group c member 1
dexamethasone,contact dermatitis,nuclear receptor subfamily 3 group c member 1
dexamethasone,keloid,nuclear receptor subfamily 3 group c member 1
dexamethasone,keratitis,nuclear receptor subfamily 3 group c member 1
dexamethasone,uveitis,nuclear receptor subfamily 3 group c member 1
dexamethasone,bursitis,nuclear receptor subfamily 3 group c member 1
dexamethasone,iritis,nuclear receptor subfamily 3 group c member 1
dexamethasone,psoriatic arthritis,nuclear receptor subfamily 3 group c member 1
dexamethasone,allergic rhinitis,nuclear receptor subfamily 3 group c member 1
dexamethasone,asthma,nuclear receptor subfamily 3 group c member 1
dexamethasone,exfoliative dermatitis,nuclear receptor subfamily 3 group c member 1
dexamethasone,pruritus ani,nuclear receptor subfamily 3 group c member 1
dexamethasone,epicondylitis,nuclear receptor subfamily 3 group c member 1
dexamethasone,rheumatic heart disease,nuclear receptor subfamily 3 group c member 1
dexamethasone,inflammatory bowel disease,nuclear receptor subfamily 3 group c member 1
dexamethasone,mycosis fungoides,nuclear receptor subfamily 3 group c member 1
dexamethasone,thyroiditis,nuclear receptor subfamily 3 group c member 1
dexamethasone,chronic beryllium disease,nuclear receptor subfamily 3 group c member 1
dexamethasone,sarcoidosis,nuclear receptor subfamily 3 group c member 1
dexamethasone,pemphigus,nuclear receptor subfamily 3 group c member 1
dexamethasone,classic hodgkin lymphoma,nuclear receptor subfamily 3 group c member 1
dexamethasone,trichinellosis,nuclear receptor subfamily 3 group c member 1
dexamethasone,miliary tuberculosis,nuclear receptor subfamily 3 group c member 1
dexamethasone,otitis externa,nuclear receptor subfamily 3 group c member 1
dexamethasone,erythema multiforme,nuclear receptor subfamily 3 group c member 1
dexamethasone,dermatitis herpetiformis,nuclear receptor subfamily 3 group c member 1
dexamethasone,rosacea,nuclear receptor subfamily 3 group c member 1
dexamethasone,atopic conjunctivitis,nuclear receptor subfamily 3 group c member 1
dexamethasone,corneal ulcer,nuclear receptor subfamily 3 group c member 1
dexamethasone,exanthem,nuclear receptor subfamily 3 group c member 1
dexamethasone,anterior uveitis,nuclear receptor subfamily 3 group c member 1
dexamethasone,gout,nuclear receptor subfamily 3 group c member 1
dexamethasone,granuloma annulare,nuclear receptor subfamily 3 group c member 1
dexamethasone,systemic lupus erythematosus,nuclear receptor subfamily 3 group c member 1
dexamethasone,burkitt lymphoma,nuclear receptor subfamily 3 group c member 1
dexamethasone,pulmonary eosinophilia,nuclear receptor subfamily 3 group c member 1
dexamethasone,neurodermatitis,nuclear receptor subfamily 3 group c member 1
dexamethasone,primary cutaneous t-cell non-hodgkin lymphoma,nuclear receptor subfamily 3 group c member 1
dexamethasone,autoimmune hemolytic anemia,nuclear receptor subfamily 3 group c member 1
dexamethasone,multiple sclerosis,nuclear receptor subfamily 3 group c member 1
dexamethasone,diffuse large b-cell lymphoma,nuclear receptor subfamily 3 group c member 1
dexamethasone,non-hodgkin lymphoma,nuclear receptor subfamily 3 group c member 1
dexamethasone,follicular lymphoma,nuclear receptor subfamily 3 group c member 1
dexamethasone,serum sickness,nuclear receptor subfamily 3 group c member 1
dexamethasone,musculoskeletal system disorder,nuclear receptor subfamily 3 group c member 1
dexamethasone,nephrotic syndrome,nuclear receptor subfamily 3 group c member 1
dexamethasone,humoral hypercalcemia of malignancy,nuclear receptor subfamily 3 group c member 1
dexamethasone,chronic primary adrenal insufficiency,nuclear receptor subfamily 3 group c member 1
dexamethasone,adrenocortical insufficiency,nuclear receptor subfamily 3 group c member 1
selumetinib,neurofibromatosis 1,structural maintenance of chromosomes 1a
selumetinib,neurofibromatosis 1,structural maintenance of chromosomes 2
selumetinib,neurofibromatosis 1,mitogen-activated protein kinase kinase 1
selumetinib,neurofibromatosis 1,mitogen-activated protein kinase kinase 2
ethinylestradiol,atrophic vulva,estrogen receptor 1
ethinylestradiol,atrophic vulva,sex hormone binding globulin
drospirenone,atrophic vulva,nuclear receptor subfamily 3 group c member 2
drospirenone,atrophic vulva,progesterone receptor
norethisterone,atrophic vulva,sex hormone binding globulin
norethisterone,atrophic vulva,progesterone receptor
norgestimate,atrophic vulva,estrogen receptor 1
norgestimate,atrophic vulva,progesterone receptor
estradiol valerate,atrophic vulva,estrogen related receptor beta
estradiol valerate,atrophic vulva,estrogen receptor 1
estradiol valerate,atrophic vulva,sex hormone binding globulin
estradiol valerate,atrophic vulva,estrogen related receptor alpha
ospemifene,atrophic vulva,estrogen receptor 1
nizatidine,multiple endocrine neoplasia,histamine receptor h2
duloxetine,generalized anxiety disorder,solute carrier family 6 member 4
duloxetine,generalized anxiety disorder,solute carrier family 6 member 2
duloxetine,generalized anxiety disorder,5-hydroxytryptamine receptor 1a
paroxetine,generalized anxiety disorder,solute carrier family 6 member 4
paroxetine,generalized anxiety disorder,solute carrier family 6 member 2
paroxetine,generalized anxiety disorder,5-hydroxytryptamine receptor 1a
pregabalin,generalized anxiety disorder,calcium voltage-gated channel auxiliary subunit alpha2delta 1
pregabalin,generalized anxiety disorder,calcium voltage-gated channel auxiliary subunit alpha2delta 2
escitalopram,generalized anxiety disorder,solute carrier family 6 member 4
escitalopram,generalized anxiety disorder,solute carrier family 6 member 2
buspirone,generalized anxiety disorder,5-hydroxytryptamine receptor 1a
alprazolam,generalized anxiety disorder,gamma-aminobutyric acid type a receptor subunit alpha5
alprazolam,generalized anxiety disorder,gamma-aminobutyric acid type a receptor subunit alpha3
alprazolam,generalized anxiety disorder,gamma-aminobutyric acid type a receptor subunit alpha2
alprazolam,generalized anxiety disorder,gamma-aminobutyric acid type a receptor subunit alpha1
alprazolam,generalized anxiety disorder,gamma-aminobutyric acid type a receptor subunit gamma2
alprazolam,generalized anxiety disorder,gamma-aminobutyric acid type a receptor subunit beta2
alprazolam,generalized anxiety disorder,gamma-aminobutyric acid type a receptor subunit beta3
venlafaxine,generalized anxiety disorder,solute carrier family 6 member 2
venlafaxine,generalized anxiety disorder,solute carrier family 6 member 4
desvenlafaxine,generalized anxiety disorder,solute carrier family 6 member 2
desvenlafaxine,generalized anxiety disorder,solute carrier family 6 member 4
citalopram,generalized anxiety disorder,solute carrier family 6 member 2
citalopram,generalized anxiety disorder,solute carrier family 6 member 4
hydroxychloroquine,plasmodium malariae malaria,toll like receptor 7
hydroxychloroquine,plasmodium malariae malaria,toll like receptor 9
hydroxychloroquine,plasmodium malariae malaria,transmembrane protein 97
chloroquine,plasmodium malariae malaria,toll like receptor 9
chloroquine,plasmodium malariae malaria,transmembrane protein 97
biperiden,postencephalitic parkinson disease,cholinergic receptor muscarinic 2
biperiden,postencephalitic parkinson disease,cholinergic receptor muscarinic 4
benzatropine,postencephalitic parkinson disease,cholinergic receptor muscarinic 2
procyclidine,postencephalitic parkinson disease,cholinergic receptor muscarinic 2
procyclidine,postencephalitic parkinson disease,cholinergic receptor muscarinic 4
procyclidine,postencephalitic parkinson disease,cholinergic receptor muscarinic 1
carbidopa,postencephalitic parkinson disease,dopa decarboxylase
bromocriptine,postencephalitic parkinson disease,5-hydroxytryptamine receptor 6
bromocriptine,postencephalitic parkinson disease,dopamine receptor d1
levodopa,postencephalitic parkinson disease,dopa decarboxylase
levodopa,postencephalitic parkinson disease,dopamine receptor d2
levodopa,postencephalitic parkinson disease,dopamine receptor d1
levodopa,postencephalitic parkinson disease,dopamine receptor d3
amantadine,postencephalitic parkinson disease,dopa decarboxylase
amantadine,postencephalitic parkinson disease,glutamate ionotropic receptor nmda type subunit 2b
amantadine,postencephalitic parkinson disease,glutamate ionotropic receptor nmda type subunit 3b
amantadine,postencephalitic parkinson disease,glutamate ionotropic receptor nmda type subunit 2c
amantadine,postencephalitic parkinson disease,glutamate ionotropic receptor nmda type subunit 2a
amantadine,postencephalitic parkinson disease,glutamate ionotropic receptor nmda type subunit 1
amantadine,postencephalitic parkinson disease,glutamate ionotropic receptor nmda type subunit 2d
amantadine,postencephalitic parkinson disease,glutamate ionotropic receptor nmda type subunit 3a
dextromethorphan,major depressive disorder,cytochrome p450 family 2 subfamily c member 9
dextromethorphan,major depressive disorder,solute carrier family 6 member 4
dextromethorphan,major depressive disorder,atp binding cassette subfamily b member 1
dextromethorphan,major depressive disorder,cytochrome p450 family 2 subfamily c member 19
dextromethorphan,major depressive disorder,solute carrier family 6 member 2
dextromethorphan,major depressive disorder,cytochrome p450 family 2 subfamily d member 6
vilazodone,major depressive disorder,cytochrome p450 family 2 subfamily d member 6
vilazodone,major depressive disorder,dopamine receptor d2
vilazodone,major depressive disorder,5-hydroxytryptamine receptor 7
mianserin,major depressive disorder,5-hydroxytryptamine receptor 6
mianserin,major depressive disorder,solute carrier family 6 member 3
mianserin,major depressive disorder,dopamine receptor d3
mianserin,major depressive disorder,5-hydroxytryptamine receptor 2b
mianserin,major depressive disorder,cytochrome p450 family 2 subfamily d member 6
mianserin,major depressive disorder,5-hydroxytryptamine receptor 1a
mianserin,major depressive disorder,5-hydroxytryptamine receptor 7
mianserin,major depressive disorder,solute carrier family 6 member 4
mianserin,major depressive disorder,5-hydroxytryptamine receptor 1d
mianserin,major depressive disorder,dopamine receptor d2
olanzapine,major depressive disorder,5-hydroxytryptamine receptor 3a
olanzapine,major depressive disorder,5-hydroxytryptamine receptor 6
olanzapine,major depressive disorder,dopamine receptor d3
olanzapine,major depressive disorder,5-hydroxytryptamine receptor 7
olanzapine,major depressive disorder,dopamine receptor d4
olanzapine,major depressive disorder,atp binding cassette subfamily b member 1
olanzapine,major depressive disorder,cytochrome p450 family 2 subfamily c member 19
olanzapine,major depressive disorder,5-hydroxytryptamine receptor 1b
olanzapine,major depressive disorder,5-hydroxytryptamine receptor 1a
olanzapine,major depressive disorder,albumin
olanzapine,major depressive disorder,5-hydroxytryptamine receptor 2b
olanzapine,major depressive disorder,histamine receptor h1
olanzapine,major depressive disorder,h1.0 linker histone
olanzapine,major depressive disorder,adrenoceptor alpha 2c
olanzapine,major depressive disorder,5-hydroxytryptamine receptor 2c
olanzapine,major depressive disorder,cytochrome p450 family 2 subfamily c member 9
olanzapine,major depressive disorder,dopamine receptor d5
olanzapine,major depressive disorder,adrenoceptor alpha 1a
olanzapine,major depressive disorder,5-hydroxytryptamine receptor 1d
olanzapine,major depressive disorder,cytochrome p450 family 2 subfamily d member 6
olanzapine,major depressive disorder,cholinergic receptor muscarinic 2
olanzapine,major depressive disorder,adrenoceptor alpha 2a
olanzapine,major depressive disorder,cholinergic receptor muscarinic 3
paroxetine,major depressive disorder,cytochrome p450 family 2 subfamily d member 6
paroxetine,major depressive disorder,atp binding cassette subfamily b member 1
paroxetine,major depressive disorder,cholinergic receptor muscarinic 3
paroxetine,major depressive disorder,cytochrome p450 family 2 subfamily c member 9
paroxetine,major depressive disorder,5-hydroxytryptamine receptor 2a
paroxetine,major depressive disorder,solute carrier family 6 member 3
paroxetine,major depressive disorder,cholinergic receptor muscarinic 2
paroxetine,major depressive disorder,solute carrier family 6 member 2
paroxetine,major depressive disorder,5-hydroxytryptamine receptor 1a
paroxetine,major depressive disorder,adrenoceptor alpha 2a
paroxetine,major depressive disorder,adrenoceptor alpha 1a
ketamine,major depressive disorder,dopamine receptor d2
ketamine,major depressive disorder,atp binding cassette subfamily b member 1
ketamine,major depressive disorder,cytochrome p450 family 2 subfamily c member 9
ketamine,major depressive disorder,solute carrier family 6 member 2
fluoxetine,major depressive disorder,5-hydroxytryptamine receptor 2a
fluoxetine,major depressive disorder,cytochrome p450 family 2 subfamily c member 19
fluoxetine,major depressive disorder,cytochrome p450 family 2 subfamily c member 9
fluoxetine,major depressive disorder,cytochrome p450 family 2 subfamily d member 6
fluoxetine,major depressive disorder,5-hydroxytryptamine receptor 2c
